Artist/Grupp,Album Namn,Artal,Vinyl: 1216 CD: 2801,Genre,4017
101 South,101 South,2000,cd,aor,Gentre
101 South,Roll of the dice,2002,cd,aor,aor
10cc,Sheet music,1974,vinyl,rock,
10cc,Ten out of ten,1981,vinyl,pomp rock,
10cc,The original soundtrack,1996,cd,pomp rock,Antal
10cc,How dare you,1997,cd,pomp rock,912
10cc,Deceptive bends,1997,cd,pomp rock,
10cc,Bloody tourist,1997,cd,pomp rock,
10cc,Live At Katalin (Bootleg),2010,cd,pomp rock,
13 going on 30,Various Artists,2004,cd,soundtrack,
1939,1939 (OST),1989,vinyl,soundtrack,
1st Avenue,Tears and triumph,1992,cd,aor,
1st Avenue,Daily battle,1994,cd,aor,
21 Guns,Salute,1992,cd,aor,
3,To the power of three,1988,cd,pomp rock,
3 doors down,Seventeen days,2005,cd,modern rock,
38 Special,Tour de force,1983,vinyl,aor,
3rd Matinee,Meanwhile,1994,cd,aor,
40 ft. Ringo,Funny thing,2003,cd,modern rock,
