Act,Imaginary Friends,2004,cd,prog,
Act,Silence,2006,cd,prog,
Act,Circus pandemonium,2014,cd,prog,
Adam Lambert,For your entertainment,2009,cd,pop,
Adele,21,2011,cd,pop,
Adele,25,2015,vinyl,pop,
Adolphson & Falk,Med rymden i blodet,1982,vinyl,synth,
Adolphson & Falk,Över tid och rum,1984,vinyl,synth,
Adolphson & Falk,I nattens lugn,1986,vinyl,synth,
Adolphson & Falk,Det svåra valet,1987,vinyl,synth,
AFI,December underground,2006,cd,new metal,
Agains All Odds,Against all odds,1984,vinyl,soundtrack,
Agent,Agent,1996,cd,aor,
Agnes,Collection,2013,cd,pop,
Agnes Obel,Aventine,2013,vinyl,jazz,
Agnes Obel,Citizen of glass,2016,vinyl,jazz,
Agnetha Fältskog,11 Kvinnor i ett hus,1975,vinyl,pop,
Agnetha Fältskog,Wrap your arms around me,1983,cd,pop,
Agnetha Fältskog,Eyes of a woman,1985,vinyl,pop,
Agnetha Fältskog,I stand alone,1987,vinyl,pop,
